Brand,Name,Category,Size and Price,Description,ImageURL
1028,好髮無傷玫瑰果護髮精油,護髮油,60ml / NT$ 390,氣候乾燥,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/103540/1/_160x160_103540_20211117031225kJUHXdfUhR.jpg
1028,好髮無傷橄欖果護髮精油,護髮油,60ml / NT$ 390,氣候乾燥,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/108577/1/_160x160_108577_20221223185946phyUBwokZx.jpg
1028,好霧霧唇膏,唇膏,3.5g / NT$ 350,氣候乾燥,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90928/1/_160x160_90928.jpg
1028,自我組藝眼影,眼影盤,0.95g / NT$ 119,換季、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/85591/1/_160x160_85591.jpg
1028,自我組藝單色腮紅,腮紅,2g / NT$ 149,氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/87529/1/_160x160_87529.jpg
1028,自我組藝雙色眉粉,眉粉,1.3g / NT$ 129,悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/87530/1/_160x160_87530.jpg
1028,冷橙花白嫩沐浴油,其它沐浴清潔,500ml / NT$ 260,悶熱、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/113678/1/_160x160_113678_20230807121232PUGnISsbGj.jpg
1028,冷橙花嫩白身體乳,身體乳液,300ml / NT$ 280,悶熱、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/113681/1/_160x160_113681_20230807121809kwQgNslJTb.jpg
1028,吸塵器亮淨淨泥膜,清潔面膜,110ml / NT$ 350,悶熱、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/102213/1/_160x160_102213_20210727160239sXijMySQlP.jpg
1028,完美十刻打亮限量盤,修容餅,8g / NT$ 350,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/88079/1/_160x160_88079.jpg
1028,我型我塑持色眉粉盤,眉粉,2.55g / NT$ 320,換季、溫度舒適、氣候乾燥、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/91750/1/_160x160_91750.jpg
1028,我型我塑持色眉筆,眉筆,0.4g / NT$ 290,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/76172/1/_160x160_76172.gif
1028,我型我塑持色眉筆EX版,眉筆,0.35g / NT$ 290,溫度舒適,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/91749/1/_160x160_91749.jpg
1028,使眼色限量9色眼彩盤,眼影盤,14g / NT$ 420,換季、悶熱、寒冷、溫度舒適,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/94192/1/_160x160_94192_20191212043656xkXhjCwhAi.jpg
1028,奇幻延長羨無極限黑絨,睫毛底膏,7.5g / NT$ 420,換季、悶熱、寒冷、氣候乾燥、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/61325/1/_160x160_61325_w_250xh_250xfar_C.jpg
1028,奇幻延長羨濃黑翹睫毛膏,睫毛膏,7.5g / NT$ 420/4240,換季、悶熱、寒冷、氣候乾燥、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/61298/1/_160x160_61298_w_250xh_250xfar_C.jpg
1028,拍拍多用美肌蛋,海綿粉撲,/ NT$ 149,--,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/85106/1/_160x160_85106.jpg
1028,拍拍零死角美肌蛋,海綿粉撲,/ NT$ 119,換季,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90818/1/_160x160_90818.jpg
1028,放色線激穩抗震眼線液,眼線液,0.55g / NT$ 390,換季、寒冷、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/93510/1/_160x160_93510_20191101064221BDulmEcMqg.jpg
1028,服服貼貼遮瑕膏,遮瑕膏,8g / NT$ 300,換季、悶熱、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/98216/1/_160x160_98216_20200915030630PtWDuQrNlc.jpg
1028,玩色漸層唇筆,唇筆,0.6/1.1g / NT$ 420,換季、悶熱、寒冷、溫度舒適、氣候乾燥,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/73490/1/_160x160_73490.png
1028,空氣定格粉餅,粉餅,9g / NT$ 390,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/98215/1/_160x160_98215_20200915030337MMLZNtyeGa.jpg
1028,空氣定格粉餅EX,粉餅,9g / NT$ 400,換季,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/107328/1/_160x160_107328_20221003081157OXzemhrXRd.jpg
